3.37E-01;5.22E-01;1.41E-01;2.01E+03
2.63E-01;5.13E-01;2.24E-01;2.01E+03
2.17E-01;4.92E-01;2.91E-01;2.01E+03
1.92E-01;4.66E-01;3.42E-01;2.01E+03
1.74E-01;4.35E-01;3.91E-01;2.01E+03
1.61E-01;4.03E-01;4.35E-01;2.01E+03
1.54E-01;3.70E-01;4.76E-01;2.01E+03
1.48E-01;3.36E-01;5.16E-01;2.01E+03
1.37E-01;2.95E-01;5.68E-01;2.01E+03
1.25E-01;2.67E-01;6.09E-01;2.01E+03
1.14E-01;2.46E-01;6.39E-01;2.01E+03
1.06E-01;2.29E-01;6.66E-01;2.01E+03
9.80E-02;2.13E-01;6.89E-01;2.01E+03
9.08E-02;1.97E-01;7.12E-01;2.01E+03
8.55E-02;1.82E-01;7.32E-01;2.01E+03
8.04E-02;1.68E-01;7.51E-01;2.01E+03
7.34E-02;1.45E-01;7.82E-01;2.01E+03
6.85E-02;1.32E-01;8.00E-01;2.01E+03
6.22E-02;1.20E-01;8.18E-01;2.01E+03
5.73E-02;1.12E-01;8.31E-01;2.01E+03
5.24E-02;1.04E-01;8.44E-01;2.01E+03
4.81E-02;9.65E-02;8.55E-01;2.01E+03
4.43E-02;8.93E-02;8.66E-01;2.01E+03
4.14E-02;8.35E-02;8.75E-01;2.01E+03
3.70E-02;7.13E-02;8.92E-01;2.01E+03
3.28E-02;6.40E-02;9.03E-01;2.01E+03
3.01E-02;5.83E-02;9.12E-01;2.01E+03
2.77E-02;5.28E-02;9.19E-01;2.01E+03
2.54E-02;4.85E-02;9.26E-01;2.01E+03
2.31E-02;4.47E-02;9.32E-01;2.01E+03
2.15E-02;4.11E-02;9.37E-01;2.01E+03
1.94E-02;3.82E-02;9.42E-01;2.01E+03
3.96E-02;3.28E-02;9.28E-01;2.01E+03
4.58E-02;3.03E-02;9.24E-01;2.01E+03
5.17E-02;2.79E-02;9.20E-01;2.01E+03
5.39E-02;2.59E-02;9.20E-01;2.01E+03
5.76E-02;2.44E-02;9.18E-01;2.01E+03
6.05E-02;2.29E-02;9.17E-01;2.01E+03
6.40E-02;2.14E-02;9.15E-01;2.01E+03
6.71E-02;2.02E-02;9.13E-01;2.01E+03
6.73E-02;1.75E-02;9.15E-01;2.01E+03
6.87E-02;1.66E-02;9.15E-01;2.01E+03
6.87E-02;1.52E-02;9.16E-01;2.01E+03
6.87E-02;1.40E-02;9.17E-01;2.01E+03
6.87E-02;1.29E-02;9.18E-01;2.01E+03
6.79E-02;1.22E-02;9.20E-01;2.01E+03
6.67E-02;1.15E-02;9.22E-01;2.01E+03
6.67E-02;1.10E-02;9.22E-01;2.01E+03
6.44E-02;1.02E-02;9.25E-01;2.01E+03
6.10E-02;9.45E-03;9.30E-01;2.01E+03
5.94E-02;8.80E-03;9.32E-01;2.01E+03
5.71E-02;8.10E-03;9.35E-01;2.01E+03
5.53E-02;7.50E-03;9.37E-01;2.01E+03
5.32E-02;7.25E-03;9.40E-01;2.01E+03
5.08E-02;6.70E-03;9.43E-01;2.01E+03
4.86E-02;6.35E-03;9.45E-01;2.01E+03
4.72E-02;6.00E-03;9.47E-01;2.01E+03
4.51E-02;5.70E-03;9.49E-01;2.01E+03
4.25E-02;5.30E-03;9.52E-01;2.01E+03
4.01E-02;4.95E-03;9.55E-01;2.01E+03
3.65E-02;4.30E-03;9.59E-01;2.01E+03
3.45E-02;4.05E-03;9.62E-01;2.01E+03
3.19E-02;3.85E-03;9.64E-01;2.01E+03
2.97E-02;3.65E-03;9.67E-01;2.01E+03
3.98E-02;3.30E-03;9.57E-01;2.01E+03
4.19E-02;3.15E-03;9.55E-01;2.01E+03
4.32E-02;2.85E-03;9.54E-01;2.01E+03
4.67E-02;2.60E-03;9.51E-01;2.01E+03
4.76E-02;2.45E-03;9.50E-01;2.01E+03
4.97E-02;2.15E-03;9.48E-01;2.01E+03
5.44E-02;2.00E-03;9.44E-01;2.01E+03
5.65E-02;1.90E-03;9.42E-01;2.01E+03
5.74E-02;1.75E-03;9.41E-01;2.01E+03
5.81E-02;1.65E-03;9.40E-01;2.01E+03
5.89E-02;1.50E-03;9.40E-01;2.01E+03
5.92E-02;1.30E-03;9.40E-01;2.01E+03
5.95E-02;1.15E-03;9.39E-01;2.01E+03
5.91E-02;1.15E-03;9.40E-01;2.01E+03
5.91E-02;1.15E-03;9.40E-01;2.01E+03
5.79E-02;1.15E-03;9.41E-01;2.01E+03
5.89E-02;1.05E-03;9.40E-01;2.01E+03
5.82E-02;1.05E-03;9.41E-01;2.01E+03
5.67E-02;1.05E-03;9.42E-01;2.01E+03
5.65E-02;1.00E-03;9.43E-01;2.01E+03
5.62E-02;9.50E-04;9.43E-01;2.01E+03
5.48E-02;9.50E-04;9.44E-01;2.01E+03
5.42E-02;9.50E-04;9.45E-01;2.01E+03
5.06E-02;8.50E-04;9.49E-01;2.01E+03
4.95E-02;7.50E-04;9.50E-01;2.01E+03
4.86E-02;7.00E-04;9.51E-01;2.01E+03
4.69E-02;6.00E-04;9.52E-01;2.01E+03
4.53E-02;5.00E-04;9.54E-01;2.01E+03
4.36E-02;4.50E-04;9.56E-01;2.01E+03
4.12E-02;4.50E-04;9.58E-01;2.01E+03
3.92E-02;4.00E-04;9.60E-01;2.01E+03
3.87E-02;3.50E-04;9.61E-01;2.01E+03
4.50E-02;3.50E-04;9.55E-01;2.01E+03
4.76E-02;3.00E-04;9.52E-01;2.01E+03
4.81E-02;2.50E-04;9.52E-01;2.01E+03
4.90E-02;2.00E-04;9.51E-01;2.01E+03
4.91E-02;2.00E-04;9.51E-01;2.01E+03
4.88E-02;1.50E-04;9.51E-01;2.01E+03
4.86E-02;1.50E-04;9.51E-01;2.01E+03
4.89E-02;1.00E-04;9.51E-01;2.01E+03
4.99E-02;1.00E-04;9.50E-01;2.01E+03
4.96E-02;1.00E-04;9.50E-01;2.01E+03
4.92E-02;5.00E-05;9.51E-01;2.01E+03
4.99E-02;5.00E-05;9.50E-01;2.01E+03
5.08E-02;5.00E-05;9.49E-01;2.01E+03
5.26E-02;5.00E-05;9.47E-01;2.01E+03
5.31E-02;5.00E-05;9.47E-01;2.01E+03
5.33E-02;5.00E-05;9.47E-01;2.01E+03
5.39E-02;5.00E-05;9.46E-01;2.01E+03
5.37E-02;5.00E-05;9.46E-01;2.01E+03
5.36E-02;5.00E-05;9.46E-01;2.01E+03
5.34E-02;5.00E-05;9.47E-01;2.01E+03
5.31E-02;5.00E-05;9.47E-01;2.01E+03
5.23E-02;5.00E-05;9.48E-01;2.01E+03
5.09E-02;5.00E-05;9.49E-01;2.01E+03
5.17E-02;5.00E-05;9.48E-01;2.01E+03
5.18E-02;5.00E-05;9.48E-01;2.01E+03
5.21E-02;5.00E-05;9.48E-01;2.01E+03
5.20E-02;5.00E-05;9.48E-01;2.01E+03
5.08E-02;5.00E-05;9.49E-01;2.01E+03
5.05E-02;5.00E-05;9.49E-01;2.01E+03
4.93E-02;5.00E-05;9.51E-01;2.01E+03
4.90E-02;5.00E-05;9.51E-01;2.01E+03
4.67E-02;5.00E-05;9.53E-01;2.01E+03
5.05E-02;5.00E-05;9.49E-01;2.01E+03
5.29E-02;5.00E-05;9.47E-01;2.01E+03
5.23E-02;5.00E-05;9.48E-01;2.01E+03
5.20E-02;5.00E-05;9.48E-01;2.01E+03
5.15E-02;0.00E+00;9.49E-01;2.01E+03
5.04E-02;0.00E+00;9.50E-01;2.01E+03
4.96E-02;0.00E+00;9.50E-01;2.01E+03
4.91E-02;0.00E+00;9.51E-01;2.01E+03
4.99E-02;0.00E+00;9.50E-01;2.01E+03
4.96E-02;0.00E+00;9.50E-01;2.01E+03
4.99E-02;0.00E+00;9.50E-01;2.01E+03
5.11E-02;0.00E+00;9.49E-01;2.01E+03
5.00E-02;0.00E+00;9.50E-01;2.01E+03
5.07E-02;0.00E+00;9.49E-01;2.01E+03
5.12E-02;0.00E+00;9.49E-01;2.01E+03
5.18E-02;0.00E+00;9.48E-01;2.01E+03
5.14E-02;0.00E+00;9.49E-01;2.01E+03
5.17E-02;0.00E+00;9.48E-01;2.01E+03
5.30E-02;0.00E+00;9.47E-01;2.01E+03
5.39E-02;0.00E+00;9.46E-01;2.01E+03
5.32E-02;0.00E+00;9.47E-01;2.01E+03
5.36E-02;0.00E+00;9.46E-01;2.01E+03
